id_publicacao,itens_apriori
Reunião extraordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
78ª Reunião Ordinária CoACE,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Pró-Reitoria de Extensão está com quatro editais abertos,"desempenho:baixo, retencao:desconhecida, duracao:media"
Trilhas da Inovação - Ep.2 - Escala TRL - Grau de maturidade tecnológica,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - Quais são os desafios para a implementação segura das PICs no SUS?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Reunião Extraordinária do Conselho Universitário,"desempenho:baixo, retencao:desconhecida, duracao:longa"
161ª Reunião Ordinária do conselho de Pós-Graduação da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber -  Como a doença afeta o cérebro?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Físico brasileiro comenta Nobel para a Mecânica Quântica,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Estudantes da UFSCar destacam a importância da iniciação científica,"desempenho:baixo, retencao:desconhecida, duracao:media"
IV SIMPOSIO DE PESQUISA EM JUVENTUDE NO BRASIL - Abertura,"desempenho:baixo, retencao:desconhecida, duracao:longa"
“Boys and girls” e muito mais: projeto da UFSCar interage com estudantes do Ensino Fundamental,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - Gordofobia: é crime ou é bobagem?,"desempenho:baixo, retencao:boa, duracao:curta"
"Teaser Formaturas São Carlos 2024 - 27, 28 e 29/05/2024","desempenho:baixo, retencao:desconhecida, duracao:curta"
Sob o pôr do Sol - Vídeo 3,"desempenho:baixo, retencao:desconhecida, duracao:media"
XIII SEGRAD/UFSCar - Abertura | Inserção Curricular da extensão nos cursos de gradua...,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Max and his friends in: Discovering the Sea - Episode 3 – Hot wind, cold rain","desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - Linguagem neutra é luta por direitos ou ataque à Língua Portuguesa?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Inscrições abertas: Programa Doutorado Sanduíche no Exterior (PDSE), da Capes","desempenho:baixo, retencao:boa, duracao:curta"
Max and his friends in: Discovering the Sea - Episode 2 – Plastic on its way to the sea,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Conexão Federal: Futebóis, diversidade e inclusão, com Osmar Moreira de Souza Júnior","desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Existem evidências científicas sobre a eficácia das PICs incluídas no SUS?,"desempenho:baixo, retencao:desconhecida, duracao:media"
74ª Reunião Ordinária do CoAd,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Cerimônia de entrega do título de Doutor Honoris Causa a Raduan Nassar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar adota CadÚnico para comprovação de renda para o SiSU,"desempenho:baixo, retencao:boa, duracao:curta"
UFSCar recebe novos estudantes,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Boletim de Oportunidades - Oportunidades em Um Minuto #6,"desempenho:baixo, retencao:desconhecida, duracao:curta"
