id_publicacao,Duração,Visualizações,Tempo de exibição (horas),Taxa de cliques de impressões (%),Continuaram assistindo (%),Inscritos,sucesso
156ª Reunião Ordinária do Conselho de Extensão,11396.0,89,12.0568,1.44,,0,0
MESACAST – O Rastro e o Lastro da Poluição Plástica: da Ciência às decisões políticas sobre praias,4148.0,182,11.9713,1.08,,3,0
114ª Reunião Ordinária do Conselho de Graduação,6097.0,152,11.8714,2.66,,0,0
Quero saber – Quais as origens do machismo?,232.0,402,11.7377,4.31,,3,0
Conheça o UFSCar+Escola,416.0,387,11.2653,3.21,,5,0
Reitora da UFSCar avalia anúncio referente ao Novo PAC e à implantação de novos campi no País,878.0,195,11.2499,1.46,,2,0
UFSCar recebe estudantes estrangeiros pelo GCUB-MOB,249.0,359,11.1582,7.21,,6,0
Reunião do Colégio  Eleitoral,3096.0,148,11.1319,3.88,,-1,0
55 anos de UFSCar pelo mundo,373.0,532,10.6689,2.1,,2,0
"Aula Magna da UFSCar com o Ministro dos Direitos Humanos e da Cidadania, Silvio Almeida",6869.0,87,10.5209,6.03,,0,0
"Quero saber - De Dubai a Belém, via Azerbaijão: o que decidem as COPs?",862.0,99,10.4612,1.24,,0,0
Egressos e egressas - Vídeo 2,336.0,439,10.2649,1.4,,1,0
Diálogos Avançados - Abertura - As Ciências Diante do Antropoceno,2711.0,139,10.2552,2.52,,8,0
#16 – Estudos apontam os benefícios de sensores e biossensores eletroquímicos para detecção de doenç,1132.0,154,10.2464,4.03,,2,0
"Qual(is) escola(s), para quem e para o quê? Reflexões sobre Educação brasileira em tempo de pandemia",5855.0,990,10.2177,1.44,,5,0
79ª Reunião Ordinária do CoACE,8127.0,92,10.1301,2.11,,1,0
Diálogos Avançados - Biodiversidade Morte e Vida das Espécies,5597.0,113,10.0801,2.17,,3,0
Dia Internacional das Mulheres e Meninas na Ciência com a cientista Sonia Guimarães,359.0,375,10.0552,1.99,,2,0
Quero saber - E os direitos das pessoas trans no Brasil?,208.0,437,9.8967,4.86,,6,0
71ª Reunião Ordinária do Conselho de Administração,2899.0,64,9.6454,1.9,,0,0
Política de Saúde Mental na UFSCar,694.0,134,9.4731,2.12,,0,0
UFSCar conta Sua História - Luciana Pankararu,3187.0,85,9.3969,2.04,,2,0
Quero saber - Livro didático em escola pública: presta ou não presta?,60.0,1133,9.2581,2.0,67.21,10,0
Hedging Language: A proxy of Deception in public discourse,7527.0,92,9.2517,1.43,,3,0
VOCÊ NA UFSCAR – COMO FAZER A MATRÍCULA?,103.0,565,9.2486,17.76,,8,0
Reitora da UFSCar apresenta obras na Universidade incluídas no Novo PAC,729.0,192,8.7986,1.53,,2,0
Obras do Novo PAC avançam e fortalecem infraestrutura da UFSCar,319.0,284,8.6782,2.19,,2,0
