Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
t3lLTJafTus,20ª Reunião Ordinária do Conselho de Gestão de Pessoas,"Feb 4, 2025",7567,139,0:22:23,,,,,139,51.8705,0,1630,5.4
dY9_Dx0cUnw,280ª Reunião Ordinária do Conselho Universitário,"Feb 28, 2025",12527,172,0:17:54,,,,,172,51.3577,1,1816,4.57
dEOZASkW2og,2ª chamada SiSU - Entenda a lista e a movimentação das vagas!,"Mar 12, 2024",418,1842,0:01:37,,,,,1842,49.6525,16,1532,9.4
G3KKorcnJxs,Reunião extraordinária do ConsUni,"Nov 22, 2024",11832,155,0:18:09,,,,,155,46.917,0,3384,3.07
eZGpypYyn14,"Workshop ""Biologia Quântica - o surgimento de um novo paradigma""","Feb 12, 2025",8777,238,0:10:52,,,,,238,43.1308,4,2305,3.73
H8irSMXRJDM,Quero saber - O que é voyeurismo?,"Jan 29, 2024",161,2085,0:01:13,,,,,2085,42.6284,9,3112,7.58
0CuIK9feeq4,Sessão Pública de Apuração,"Sep 5, 2024",1380,520,0:04:47,,,,,520,41.4937,10,4159,4.57
D2CmDozpxr4,163ª Reunião Ordinária do conselho de Pós-Graduação da UFSCar,"Jun 25, 2025",11865,108,0:22:56,,,,,108,41.2933,1,2228,2.06
03ig9-t4oy0,19ª Reunião Ordinária do Conselho de Gestão de Pessoas (CoGePe) da UFSCar,"Nov 13, 2024",6272,108,0:22:26,,,,,108,40.3861,1,1031,6.4
irgAOg783VU,CORPOREIDADES DISSIDENTES NA UNIVERSIDADE EM TEMPOS DE REAFIRMAÇÃO DA DEMOCRACIA,"Mar 13, 2025",6570,131,0:17:59,,,,,131,39.2685,3,2268,2.03
SSMMBsFF_T4,"IMPORTÂNCIA DOS FEMINISMOS PARA A CONSTRUÇÃO DA JUSTIÇA SOCIAL, NO COTIDIANO DAS MULHERES","Mar 12, 2025",7082,152,0:14:37,,,,,152,37.0365,14,3918,1.02
DhdyPeqSBp0,Reunião Extraordinária do CoG,"Jan 14, 2025",12142,177,0:12:04,,,,,177,35.5998,0,7572,1.43
YLJ64eptYp8,Max e sua turma em: Descobrindo o Mar - Episódio 1 - O mar que a gente respira,"Oct 17, 2023",755,661,0:03:10,,,,,661,34.9081,13,2074,9.59
XWhmiF2JMDI,Palestra: Pedagogia do arquivo: produção e difusão do conhecimento na era da inteligência artificial,"Nov 14, 2024",6509,213,0:09:48,,,,,213,34.8372,8,5192,1.46
8oiWAozwyP4,Palestra –  Reconhecimento de saberes e reexistência epistemológica  transformar a universidade,"Sep 20, 2024",7574,151,0:13:49,,,,,151,34.7979,0,3549,1.21
0KzVK-dcZe8,21ª Reunião Ordinária do CoGePe - Conselho de Gestão de Pessoas,"Apr 2, 2025",3494,133,0:15:31,,,,,133,34.4201,1,1077,4.46
gxPlezKh4-k,Feira de Oportunidades 24 - Da UFSCar à Liderança na Amdocs: Inspire-se com essa Jornada de Sucesso!,"Nov 6, 2024",7674,163,0:12:21,,,,,163,33.5763,1,3942,1.47
BZlhhXma2bY,Diálogos Avançados - De Que Falamos Quando Falamos de Antropoceno,"Oct 17, 2024",6665,141,0:14:07,,,,,141,33.1949,6,4243,1.72
7y06N5CiHjI,Quero saber - Como o PNLD contribui para a qualidade do livro didático no Brasil?,"Oct 2, 2023",339,721,0:02:42,,,,,721,32.621,14,8698,5.44
bQ6SW5yZJb4,Venha estudar na UFSCar! Esta Universidade é para você!,"Aug 20, 2024",343,1046,0:01:51,,,,,1046,32.3562,11,12127,5.48
LNVxwyhsp70,Debate em 28/5 abordará inclusão epistemológica e Ciência antirracista,"May 28, 2025",12164,136,0:14:14,,,,,136,32.2999,4,2370,2.83
Lr6VqPNI6ek,72ª Reunião Ordinária do Conselho de Administração,"Nov 8, 2024",10058,131,0:13:49,,,,,131,30.181,0,5046,1.43
qE-mB6AZ5Sw,Îandê YBY (Somos a Terra) e Não Donos Dela - Já somos um outro mundo possível,"Oct 16, 2024",5856,175,0:09:51,,,,,175,28.7507,1,1814,3.69
T7tC4_r9i_4,Max e sua turma em: Descobrindo o Mar - Episódio 2 – O plástico a caminho do mar,"May 8, 2024",906,336,0:04:52,,,,,336,27.3423,5,2506,6.26
YbTz4U8cDLU,Reunião Extraordinária do ConsUni em conjunto com o CoAd,"Jun 7, 2025",6274,91,0:17:39,,,,,91,26.783,1,2027,2.47
lh0dNmFM-Po,Conferência IEAE - Universidade para o Futuro,"Aug 27, 2024",9366,183,0:08:33,,,,,183,26.1058,2,5055,1.82
FHJZeq4Apeg,22ª Reunião Ordinária do Conselho de Gestão de Pessoas,"Jun 4, 2025",4099,81,0:18:42,,,,,81,25.2581,0,2825,1.31
qdLWu7H3EFY,Quero saber - Genética da Conservação: o que é e para que serve?,"Nov 6, 2023",1171,265,0:05:34,,,,,265,24.6227,4,1452,6.4
zPpM_2Wcf20,Lançamento do livro de 30 anos da EdUFSCar,"Apr 24, 2025",6317,121,0:11:51,,,,,121,23.9128,0,2990,2.74
2SuV46-kxDo,282ª Reunião Ordinária do Conselho Universitário,"Jun 28, 2025",7192,90,0:15:16,,,,,90,22.9084,0,804,7.09
ASskJxdDc1M,UFSCar conta Sua História - Luiz Antônio Tonin,"Mar 13, 2025",2354,324,0:04:05,,,,,324,22.0969,0,2874,1.77
Ye0HIF2wMsM,Quero saber – Quais os tipos de assédio mais comuns?,"Oct 16, 2023",173,845,0:01:34,,,,,845,22.0669,10,6763,5.9
gTEqenrvnTo,ICC Entrevista - Prêmio Nobel de Literatura 2024,"Oct 10, 2024",482,497,0:02:38,,,,,497,21.9238,7,7221,1.66
n3pd9yoFsDs,73ª Reunião Ordinária do Conselho de Administração - CoAd,"Mar 28, 2025",7640,99,0:13:15,,,,,99,21.8781,0,2208,2.4
HLsl1YRrSRI,Quero saber - O que é Linguagem Simples?,"Dec 12, 2023",546,405,0:03:13,,,,,405,21.7793,11,3659,7.16
rEdzv-Vwtg8,"Quero saber - Acupuntura, fitoterápicos, aromaterapia: a que - e quem - servem as PICs no SUS?","Nov 13, 2023",1061,249,0:05:10,,,,,249,21.4551,8,1415,7.56
L9WLzrVpYHs,278ª Reunião Ordinária do ConsUni,"Oct 18, 2024",14314,97,0:13:16,,,,,97,21.4531,0,3038,1.94
sw-QecZ_omk,80ª Reunião Ordinária do CoACE,"Apr 1, 2025",9492,78,0:16:30,,,,,78,21.4515,2,4644,0.86
WEPzQ3uRIHE,Unidade Saúde Escola da UFSCar comemora 20 anos,"May 5, 2025",805,479,0:02:38,,,,,479,21.1557,0,3153,2.51
ZHaf-Fq4M3Y,"Max e sua turma em: Descobrindo o Mar - Episódio 3 – Vento quente, chuva fria","May 8, 2024",750,289,0:04:23,,,,,289,21.138,1,2167,6.32
vAPbQYgmDmg,Reitora da UFSCar fala de investimentos na consolidação dos 4 campi da UFSCar,"Jul 30, 2024",851,247,0:04:50,,,,,247,19.9175,2,2921,1.68
3Rcl_u__Eko,Quero saber - O que faz um Gestor Ambiental?,"Feb 5, 2024",60,1767,0:00:40,69.77,,,,2029,19.8118,7,30554,3.4
fJxZKTOu1-M,Quero saber - Como e por que a transfobia mata?,"Nov 28, 2023",843,336,0:03:31,,,,,336,19.774,2,4384,4.36
LpL8gmveXLs,Anita no acervo de Prestes: histórias que viajam no tempo,"Oct 30, 2023",60,1467,0:00:48,81.33,,,,1655,19.6114,8,32282,3.13
cPbfr8YLJ1c,Reunião Extraordinária do Conselho Universitário,"Sep 20, 2024",10020,73,0:15:19,,,,,73,18.6364,0,1921,2.19
YdJHXMAGcnQ,117ª Reunião Ordinária do CoG,"Jun 17, 2025",12271,63,0:17:40,,,,,63,18.5663,1,4836,0.74
QhfV_P7smgo,Quero saber - Gordofobia: é crime ou é bobagem?,"Oct 23, 2023",810,361,0:03:04,,,,,361,18.5198,4,8147,3.2
QMEpacsELG8,Diálogos Avançados - Vida e Energia,"Oct 18, 2024",6081,108,0:10:14,,,,,108,18.4488,1,6075,1.04
kvvta2OGWu4,113ª Reunião Ordinária do Conselho de Graduação,"Oct 22, 2024",11250,76,0:14:25,,,,,76,18.2752,1,2422,2.02
0vm-FfIpKTM,Quero saber - Livro didático em escola pública: presta ou não presta?,"Oct 2, 2023",1195,252,0:04:14,,,,,252,17.8006,6,739,4.06
AIDeSoHnV8Y,2ª Sessão da 113ª Reunião Ordinária do Conselho de Graduação,"Oct 23, 2024",8265,90,0:11:47,,,,,90,17.6925,0,1625,3.45
_NlPx4wCTlE,Quero saber – De onde surge e como se perpetua o machismo?,"Oct 9, 2023",716,389,0:02:43,,,,,389,17.6328,1,627,5.1
kxAD8A4CDnI,162a Reunião Ordinária do Conselho de Pós-Graduação da UFSCar,"Apr 30, 2025",8424,104,0:10:08,,,,,104,17.5834,-1,3803,1.84
VWxQOSCNWyI,Conselhos Superiores - Sessão Pública de apuração dos votos,"Nov 15, 2024",1457,218,0:04:49,,,,,218,17.5255,2,1425,3.86
jdUhRfZGPSY,"Diálogos Avançados - Urbanização Planetária, Ecologias e Desigualdades","Oct 18, 2024",7361,77,0:13:14,,,,,77,16.9847,1,4431,1.02
4g9nD1TUqNc,Inspirando Novas Gerações: O Papel da Educação na Construção de um Futuro Mais Justo,"Nov 7, 2024",5568,91,0:11:09,,,,,91,16.9233,1,1704,3.93
0-i4AsIq3HM,2ª Sessão da 112ª Reunião Ordinária do CoG,"Aug 27, 2024",6707,87,0:11:18,,,,,87,16.3977,0,5473,1.08
m8niCj1ekOs,Projeto no Colégio de Aplicação da UFSCar envolve crianças na prática de compostagem,"Dec 17, 2024",327,517,0:01:53,,,,,517,16.2676,3,7848,0.82
8MVb8eHfIGo,Reunião Conselho de Ações Afirmativas Diversidade e Equidade (CAADE),"Sep 12, 2024",7208,94,0:10:20,,,,,94,16.204,1,4143,0.92
79bseeYHtIk,Conheça a FAI UFSCar!,"Feb 19, 2025",389,386,0:02:30,,,,,386,16.159,1,2571,4.71
J_pTvheBg2s,Constituição da cédula de votação e lista de votantes,"Sep 3, 2024",1214,361,0:02:36,,,,,361,15.721,1,3980,2.06
cgqyU1BDMoc,I Encontro de pesquisas em terapia ocupacional  PPGTO - UFSCar (1º dia),"Jun 13, 2024",30286,97,0:09:31,,,,,97,15.4099,4,1381,3.11
KgG3UJO4tg4,Quero saber - Esportes Paralímpicos,"Sep 25, 2023",880,315,0:02:54,,,,,315,15.2329,2,2465,3.53
47a2E0TsZ_s,Feira do Livro EdUFSCar - Desbravando uma teoria incógnita: Debate sobre a educação soviética,"Oct 5, 2021",6726,92,0:09:55,,,,,92,15.2094,2,282,3.19
9KlVPNC2MLw,Live lançamento capacitação 4.0 - 2024,"Oct 19, 2024",2387,146,0:05:59,,,,,146,14.59,2,3783,1.3
7AwzXdXlep4,"Quero saber – Afinal, o que é ecoturismo?","Jan 16, 2024",90,776,0:01:07,,,,,776,14.536,8,4561,10
_CJXT6aLi80,Sob o nascer do Sol - Vídeo 1,"Jul 26, 2024",453,413,0:02:05,,,,,413,14.3484,2,9931,1.47
KhBOZ7HebvI,18a. Reunião Ordinária CoGePe,"Aug 7, 2024",5676,83,0:10:05,,,,,83,13.96,1,2431,1.81
QlV_u8bHsCI,UFSCar conta Sua História - Elisabeth Márcia Martucci,"Mar 13, 2025",2671,117,0:06:53,,,,,117,13.439,0,1747,2.86
Z5YP8mRLMaw,UFSCar conta Sua História - Carlos Eduardo Santa Maria,"Mar 13, 2025",3246,105,0:07:33,,,,,105,13.2223,2,1267,2.6
VdL57KzCyb8,Ética na Pesquisa,"Feb 19, 2024",57,728,0:01:03,82.67,,,,750,12.9445,2,5304,2.02
Hoc3amU79YY,81ª Reunião Ordinária do CoACE,"May 27, 2025",10043,71,0:10:53,,,,,71,12.8832,0,1317,2.35
kllqk6vKjBE,I Encontro de pesquisas em terapia ocupacional PPGTO - UFSCar (2º dia),"Jun 14, 2024",13216,74,0:10:26,,,,,74,12.8813,0,1241,2.5
gHYhnomKTpI,112ª Reunião Ordinária do CoG,"Aug 20, 2024",11983,109,0:06:57,,,,,109,12.6559,0,2429,2.39
GxtKHttUPw0,115ª Reunião Ordinária do CoG,"Feb 26, 2025",7183,69,0:10:55,,,,,69,12.5634,0,1840,2.61
90N4hcoE_ZQ,Quero saber – O que é a Síndrome de Burnout?,"Mar 4, 2024",637,205,0:03:38,,,,,205,12.4277,2,2553,2.31
t1KZ55K6HVI,156ª Reunião Ordinária do Conselho de Extensão,"Dec 5, 2024",11396,89,0:08:07,,,,,89,12.0568,0,2785,1.44
SLMyznXj7vo,MESACAST – O Rastro e o Lastro da Poluição Plástica: da Ciência às decisões políticas sobre praias,"Jun 4, 2025",4148,182,0:03:56,,,,,182,11.9713,3,1949,1.08
_gneMmnLKqc,114ª Reunião Ordinária do Conselho de Graduação,"Dec 11, 2024",6097,152,0:04:41,,,,,152,11.8714,0,2859,2.66
eML-brhhguc,Quero saber – Quais as origens do machismo?,"Oct 9, 2023",232,402,0:01:45,,,,,402,11.7377,3,858,4.31
YIXx2hIb__k,Conheça o UFSCar+Escola,"Oct 11, 2024",416,387,0:01:44,,,,,387,11.2653,5,1867,3.21
xDAwOPGW7wg,Reitora da UFSCar avalia anúncio referente ao Novo PAC e à implantação de novos campi no País,"Jun 11, 2024",878,195,0:03:27,,,,,195,11.2499,2,2608,1.46
TbvRvlRnSY4,UFSCar recebe estudantes estrangeiros pelo GCUB-MOB,"Apr 4, 2023",249,359,0:01:51,,,,,359,11.1582,6,3858,7.21
Bj4lOFlChKg,Reunião do Colégio  Eleitoral,"Oct 26, 2024",3096,148,0:04:30,,,,,148,11.1319,-1,2759,3.88
WGBw5M8QAQg,55 anos de UFSCar pelo mundo,"Mar 25, 2025",373,532,0:01:12,,,,,532,10.6689,2,3148,2.1
I4mkjoOYLyw,"Aula Magna da UFSCar com o Ministro dos Direitos Humanos e da Cidadania, Silvio Almeida","Oct 6, 2023",6869,87,0:07:15,,,,,87,10.5209,0,780,6.03
Z4Y_tN88Tu8,"Quero saber - De Dubai a Belém, via Azerbaijão: o que decidem as COPs?","Jan 22, 2024",862,99,0:06:20,,,,,99,10.4612,0,646,1.24
vhIsr1PG4rg,Egressos e egressas - Vídeo 2,"Jul 26, 2024",336,439,0:01:24,,,,,439,10.2649,1,6928,1.4
wQdba9wdQ0c,Diálogos Avançados - Abertura - As Ciências Diante do Antropoceno,"Oct 16, 2024",2711,139,0:04:25,,,,,139,10.2552,8,2581,2.52
Gt5Dqaqe4QA,#16 – Estudos apontam os benefícios de sensores e biossensores eletroquímicos para detecção de doenç,"Feb 15, 2022",1132,154,0:03:59,,,,,154,10.2464,2,1888,4.03
iDVONs9J_d8,"Qual(is) escola(s), para quem e para o quê? Reflexões sobre Educação brasileira em tempo de pandemia","Aug 25, 2021",5855,990,0:00:37,,,,,990,10.2177,5,139,1.44
vJd4ToKlLpE,79ª Reunião Ordinária do CoACE,"Dec 3, 2024",8127,92,0:06:36,,,,,92,10.1301,1,1987,2.11
asQr2BNYMPI,Diálogos Avançados - Biodiversidade Morte e Vida das Espécies,"Oct 17, 2024",5597,113,0:05:21,,,,,113,10.0801,3,3185,2.17
WGdtD4_wAFM,Dia Internacional das Mulheres e Meninas na Ciência com a cientista Sonia Guimarães,"Feb 11, 2025",359,375,0:01:36,,,,,375,10.0552,2,3563,1.99
ux17DJ8jcpk,Quero saber - E os direitos das pessoas trans no Brasil?,"Nov 27, 2023",208,437,0:01:21,,,,,437,9.8967,6,4037,4.86
h02qvOskO-0,71ª Reunião Ordinária do Conselho de Administração,"Sep 14, 2024",2899,64,0:09:02,,,,,64,9.6454,0,1525,1.9
Ztrwq5x3PKI,Política de Saúde Mental na UFSCar,"May 23, 2024",694,134,0:04:14,,,,,134,9.4731,0,2496,2.12
s9PYH9UGSck,UFSCar conta Sua História - Luciana Pankararu,"Mar 13, 2025",3187,85,0:06:37,,,,,85,9.3969,2,2303,2.04
Q7r2Ze2IWX0,Quero saber - Livro didático em escola pública: presta ou não presta?,"Oct 2, 2023",60,985,0:00:33,67.21,,,,1133,9.2581,10,30631,2
GhpRX_nGJME,Hedging Language: A proxy of Deception in public discourse,"Aug 30, 2024",7527,92,0:06:02,,,,,92,9.2517,3,2456,1.43
yIiMqATqjJw,VOCÊ NA UFSCAR – COMO FAZER A MATRÍCULA?,"Apr 28, 2023",103,565,0:00:58,,,,,565,9.2486,8,2196,17.76
ZaEviiNcPW8,Reitora da UFSCar apresenta obras na Universidade incluídas no Novo PAC,"Jun 20, 2024",729,192,0:02:44,,,,,192,8.7986,2,3332,1.53
pvqabKe3k0I,Obras do Novo PAC avançam e fortalecem infraestrutura da UFSCar,"Apr 14, 2025",319,284,0:01:50,,,,,284,8.6782,2,3741,2.19
1jT4G5lDOhc,77ª Reunião Ordinária do CoACE,"Aug 21, 2024",5860,75,0:06:53,,,,,75,8.6056,0,4449,1.1
MUehaAl86-U,Max and his friends - Discovering the sea: Episode 1 - The sea we breathe,"Oct 24, 2023",755,176,0:02:55,,,,,176,8.5933,0,1085,3.32
raHEwzFaNoY,Quero saber - Que prejuízos causa a não regulamentação da profissão de Gestor ou Gestora Ambiental?,"Feb 5, 2024",217,258,0:01:56,,,,,258,8.3298,5,1973,5.42
mOZqIdvL3QA,Estudantes falam do papel da Iniciação Científica em sua formação,"Nov 6, 2024",354,630,0:00:47,,,,,630,8.3068,0,3035,1.12
AXYIOZJd0zY,Quero saber: Existe vacina contra a febre maculosa?,"Jul 6, 2023",189,384,0:01:17,,,,,384,8.2852,1,6101,3.69
88KbcatOeHc,Quero saber – Como Surgiram os Jogos Paralímpicos?,"Sep 25, 2023",363,238,0:02:03,,,,,238,8.1491,3,2011,2.44
k2NWUJpwrug,Sob o pôr do Sol - Vídeo 3,"Jul 26, 2024",501,204,0:02:17,,,,,204,7.7829,0,3252,1.54
N_fEKBy8i7A,Reunião extraordinária do Conselho Universitário,"Sep 14, 2024",1659,90,0:05:08,,,,,90,7.7066,0,1459,4.25
C2udT4m7vIQ,78ª Reunião Ordinária CoACE,"Oct 22, 2024",7813,80,0:05:44,,,,,80,7.6496,0,2972,0.98
r-fzo7iqo0Y,Pró-Reitoria de Extensão está com quatro editais abertos,"Dec 12, 2024",357,261,0:01:40,,,,,261,7.308,1,3722,0.89
Bcz6V9yaCow,Trilhas da Inovação - Ep.2 - Escala TRL - Grau de maturidade tecnológica,"Oct 11, 2023",258,235,0:01:49,,,,,235,7.118,4,1479,7.37
znKcGhN_5-Y,Quero saber - Quais são os desafios para a implementação segura das PICs no SUS?,"Nov 13, 2023",170,277,0:01:32,,,,,277,7.115,4,2761,7.5
iF5PG-AquvE,Reunião Extraordinária do Conselho Universitário,"Aug 10, 2024",5500,54,0:07:42,,,,,54,6.9413,0,1589,1.95
9jd1WT8rMZI,161ª Reunião Ordinária do conselho de Pós-Graduação da UFSCar,"Feb 26, 2025",10578,58,0:07:02,,,,,58,6.8052,0,1756,1.71
9CMY_eRy7xY,Quero saber -  Como a doença afeta o cérebro?,"Sep 18, 2023",269,204,0:01:58,,,,,204,6.7367,1,1827,3.01
T8Sp1ed5GJc,Físico brasileiro comenta Nobel para a Mecânica Quântica,"Oct 5, 2022",1295,85,0:04:41,,,,,85,6.6538,2,331,4.53
VPgD-pFITxA,Estudantes da UFSCar destacam a importância da iniciação científica,"Jan 9, 2025",499,341,0:01:08,,,,,341,6.4827,2,5246,0.91
WG5sLwrrRJE,IV SIMPOSIO DE PESQUISA EM JUVENTUDE NO BRASIL - Abertura,"Apr 10, 2024",7019,32,0:12:03,,,,,32,6.4312,0,348,4.31
P7mpBSU0j3c,“Boys and girls” e muito mais: projeto da UFSCar interage com estudantes do Ensino Fundamental,"Nov 8, 2024",328,202,0:01:54,,,,,202,6.4091,2,3255,2
ida10vBiius,Quero saber - Gordofobia: é crime ou é bobagem?,"Oct 23, 2023",60,697,0:00:32,66.9,,,,819,6.3156,3,12314,2.84
uCFxkH99no8,"Teaser Formaturas São Carlos 2024 - 27, 28 e 29/05/2024",,85,424,0:00:53,,,,,424,6.2869,4,15,6.67
P66IYgBYDNA,Sob o pôr do Sol - Vídeo 3,"Aug 5, 2024",501,164,0:02:17,,,,,164,6.267,-2,4824,0.93
8Oz2n32TqU8,XIII SEGRAD/UFSCar - Abertura | Inserção Curricular da extensão nos cursos de gradua...,"May 9, 2023",7449,30,0:12:31,,,,,30,6.2607,0,195,5.64
D9p7zzL6dPs,"Max and his friends in: Discovering the Sea - Episode 3 – Hot wind, cold rain","May 8, 2024",750,87,0:04:18,,,,,87,6.2352,1,976,2.05
UmWpeTILy0Q,Quero saber - Linguagem neutra é luta por direitos ou ataque à Língua Portuguesa?,"Dec 12, 2023",1478,76,0:04:52,,,,,76,6.1712,0,699,3.58
R3NszrMKCeo,"Inscrições abertas: Programa Doutorado Sanduíche no Exterior (PDSE), da Capes","Dec 6, 2024",90,368,0:01:00,64.27,,,,388,6.1609,10,2789,2.04
qopf2DCZuQI,Max and his friends in: Discovering the Sea - Episode 2 – Plastic on its way to the sea,"May 8, 2024",906,91,0:04:02,,,,,91,6.1349,0,1364,1.83
V5RSgPyWhFY,"Conexão Federal: Futebóis, diversidade e inclusão, com Osmar Moreira de Souza Júnior","Dec 11, 2023",4032,102,0:03:35,,,,,102,6.0709,3,555,2.7
QvFY9HJorxM,Quero saber - Existem evidências científicas sobre a eficácia das PICs incluídas no SUS?,"Nov 13, 2023",328,148,0:02:25,,,,,148,5.968,2,396,6.06
TUi6zW8CWpc,74ª Reunião Ordinária do CoAd,"Jun 7, 2025",2641,51,0:07:01,,,,,51,5.9672,0,1133,2.29
Ru7Ns3s5Kdg,Cerimônia de entrega do título de Doutor Honoris Causa a Raduan Nassar,"Jul 2, 2021",6767,43,0:08:17,,,,,43,5.9407,0,470,5.32
vBhgjZd4-cM,UFSCar adota CadÚnico para comprovação de renda para o SiSU,"Sep 26, 2024",90,416,0:00:51,100,,,,416,5.905,1,2633,6.27
kTSXghwyCu4,UFSCar recebe novos estudantes,"May 23, 2023",207,226,0:01:33,,,,,226,5.8523,2,2516,6.72
B0pEhUs7vEY,Boletim de Oportunidades - Oportunidades em Um Minuto #6,"Jan 28, 2025",102,837,0:00:24,,,,,837,5.7923,5,2612,1.38
zoSAma8Pk2A,Como enviar sua sugestão de pauta para os produtos de comunicação da UFSCar?,"Jan 24, 2025",205,354,0:00:58,,,,,354,5.7879,3,3881,1.44
pm0rWL6FRg4,Quero saber - Halloween ou Dia do Saci?,"Oct 30, 2023",962,115,0:02:58,,,,,115,5.6943,1,650,6.15
UlRnIsE80MA,Conservação e uso sustentável da água,"Feb 7, 2022",5544,38,0:08:47,,,,,38,5.5674,0,229,5.68
UXzyu5vgHu0,#2 - Estudo analisa o impacto do fogo nos diferentes ecossistemas brasileiros,"Feb 15, 2022",1447,54,0:06:01,,,,,54,5.4239,1,388,6.96
yJ3__PxOlK8,Programa de Assistência Estudantil da UFSCar: o processo de ingresso e as perspectivas futuras,"Mar 21, 2022",5411,47,0:06:53,,,,,47,5.3992,1,343,9.91
4Qrla5OQ00w,Estudo de implantação do novo campus da UFSCar é processo coletivo,"Feb 10, 2025",261,186,0:01:44,,,,,186,5.3878,4,3585,2.65
t_zAtGjTNew,271ª Reunião Ordinária do ConsUni | UFSCar,"Jun 30, 2023",11785,96,0:03:21,,,,,96,5.371,0,320,8.75
PB9g2ClDFDY,Idiomas Sem Fronteiras oferece cursos online para comunidade da UFSCar,"Feb 13, 2023",354,157,0:02:01,,,,,157,5.3126,0,371,4.31
J_61nECp14I,159ª Reunião Ordinária do Conselho de Extensão,"Apr 11, 2025",4762,46,0:06:47,,,,,46,5.2108,1,3009,0.96
NS8y_yGVGxg,Feira do Livro EdUFSCar - Bate-papo com Gabriel Feltran,"Oct 7, 2021",3721,31,0:09:34,,,,,31,4.9461,1,529,3.02
DbhoYVb8JkA,Você sabia que pode usar a sua nota do Enem para cursar uma universidade federal?,"Nov 4, 2024",60,563,0:00:31,60.88,,,,686,4.9206,10,11059,3.75
QlivoVA3wBM,2ª Sessão da 117ª Reunião CoG,"Jun 25, 2025",4180,27,0:10:55,,,,,27,4.9174,-1,701,2
sibO6L58pVI,"Quero saber - E, como cuidar da nossa saúde?","Dec 4, 2023",185,338,0:00:51,,,,,338,4.8494,3,312,0
-345oo7B1uA,157ª Reunião Ordinária do Conselho de Extensão (CoEx) da UFSCa,"Jan 24, 2025",3062,62,0:04:39,,,,,62,4.8051,1,1225,3.27
QlpxUUlEZb0,Quero saber - Desenvolvimento sustentável: solução ou falácia? (Série Clima – Episódio 2),"Feb 26, 2024",1204,67,0:04:08,,,,,67,4.6157,1,976,2.15
5j_yi2yq-Ss,Monitoramento da biodiversidade na Amazônia reúne cientistas e população que vive da Floresta,"Jan 24, 2025",477,123,0:02:12,,,,,123,4.5172,2,8548,0.64
ij2HkwojsEA,Quero saber - Quais os efeitos da transfobia na vida das pessoas e na sociedade?,"Nov 28, 2023",254,150,0:01:42,,,,,150,4.2771,0,1133,2.47
qkxs1rgUpTs,149ª Reunião Ordinária do Conselho de Pós-Graduação | CoPG - UFSCar,"Sep 27, 2023",9568,8,0:31:15,,,,,8,4.1685,0,60,0
OrPBOgcBhIY,O papel das universidades na construção da saúde mental universitária e no fortalecimento da RAPS,"May 18, 2023",8168,34,0:07:11,,,,,34,4.0766,0,258,8.53
i1478WCuC34,Presença indígena na UFSCar: 15 anos de história,"Nov 28, 2023",681,86,0:02:48,,,,,86,4.0367,1,1219,2.95
DQy6aD6v4hs,Conselhos Superiores - Constituição das urnas,"Nov 13, 2024",2746,62,0:03:46,,,,,62,3.8953,0,1065,1.13
8xM0Cmu-OHk,Restaurante Universitário do Campus São Carlos está com novo visual,"Apr 5, 2024",158,204,0:01:01,,,,,204,3.5093,2,1268,7.1
SbTdU9GBLPs,155ª Reunião Extraordinária do Conselho de Extensão,"Nov 7, 2024",8894,38,0:05:30,,,,,38,3.4905,0,1744,1.49
udJNbMTgZUk,UFSCar conta Sua historia - Cláudia de Moraes Barros Ramalho,"Mar 26, 2025",1469,97,0:02:08,,,,,97,3.4742,1,3493,1.29
rYOghoef0J0,EMBRAPII E INOVAÇÃO NA UFSCar: O que é? Como fazer?,"Sep 18, 2023",388,74,0:02:48,,,,,74,3.4645,1,973,3.08
9N2Ne39uG0c,Quero saber – O que é voyeurismo e o que isso tem a ver com reality shows?,"Jan 29, 2024",822,79,0:02:37,,,,,79,3.4644,1,1368,2.27
7a0S_Cy7G8Y,Quero saber – Idade é documento?,"Dec 18, 2023",60,486,0:00:25,59.32,,,,490,3.4129,6,1358,1.03
5BVG96f2NC0,Idiomas sem Fronteiras - Inglês,"Mar 29, 2023",246,152,0:01:19,,,,,152,3.3593,0,460,6.3
Ry8TP3ENC4A,Quero saber - Linguagem neutra é luta por direitos ou ataque à Língua Portuguesa?,"Dec 12, 2023",60,278,0:00:42,69.3,,,,305,3.3071,0,7050,2.04
c21iUEil540,Quero saber - Como ser feliz no momento presente?,"Feb 12, 2024",182,168,0:01:09,,,,,168,3.2517,1,626,1.92
KehacQTw1ss,Quero saber - Por que e como publicar um livro científico por uma editora internacional?,"Jan 8, 2024",817,66,0:02:55,,,,,66,3.224,1,440,2.95
5_3kThMoYDk,SiSU/2021 -Tirando Dúvidas,"Apr 7, 2021",5608,8,0:24:03,,,,,8,3.2087,0,124,2.42
Zh5z3timryk,Biblioteca infantil na BCo UFSCar,"Jul 6, 2023",58,347,0:00:32,60.7,,,,397,3.1865,2,7770,2.5
