Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Cvj8luN3ci0,10 anos do Campus Lagoa do Sino,,192,106,0:01:44,,,,,106,3.0828,2,49,40.82
-7LoFkgVpcE,Na Pauta #55,"May 3, 2022",3262,69,0:02:38,,,,,69,3.0469,1,51,3.92
1XrO3QS8iUk,160ª Reunião Ordinária do CoEx,"May 16, 2025",4011,48,0:03:44,,,,,48,2.9966,0,1770,1.47
wTHsNg8Vmx4,"Quero Saber: Afinal, é possível alcançar um equilíbrio entre desenvolvimento e sustentabilidade?","Feb 26, 2024",457,98,0:01:47,,,,,98,2.9218,0,1004,2.79
Eo44schXrt8,Herbicida sustentável: UFSCar pesquisa alternativa ecológica para o controle de plantas invasoras,"Jun 26, 2025",286,94,0:01:51,,,,,94,2.9108,1,1378,2.1
Ze-23QvHNEo,UFSCar na Área,"Jan 23, 2024",1337,79,0:02:10,,,,,79,2.874,0,1686,2.31
Eflw-ejOqRM,Hino Nacional Libras,"Jul 5, 2023",303,97,0:01:46,,,,,97,2.8712,2,1090,3.12
wqst9LYubLw,Cerimônia de Posse: Nova Equipe de Gestão UFSCar,"Feb 5, 2021",8809,39,0:04:24,,,,,39,2.8703,0,129,17.05
D95m83AdFoc,99ª Reunião Ordinária do Conselho de Graduação (CoG),"Apr 19, 2022",12994,3,0:57:24,,,,,3,2.8701,0,50,6
yN3athOdtho,Quero saber – Qual o caminho da felicidade?,"Feb 12, 2024",703,52,0:03:18,,,,,52,2.8671,1,834,0.84
FxSfkYaUo6o,Quero saber - Como combater o etarismo?,"Dec 18, 2023",144,138,0:01:14,,,,,138,2.851,0,1141,5.78
hI7NB4f9cNw,Quero saber - O que é a região Neotropical?,"Nov 6, 2023",199,85,0:02:00,,,,,85,2.8369,2,471,4.67
bgvkCk138SU,Quero saber - Como combater a transfobia?,"Nov 27, 2023",179,116,0:01:27,,,,,116,2.8141,1,2173,3.45
JGBkUx_qmWo,Boletim de Oportunidades – 3ª Chamada do Proeduca - Denise Silva Vilela,"Oct 24, 2024",213,154,0:01:05,,,,,154,2.8026,1,3040,0.79
IW4UXNwGF2A,"Sentir ou não sentir...: sinal, sensor e significado em materiais e no corpo humano","Aug 9, 2021",5572,171,0:00:58,,,,,171,2.7773,1,128,1.56
dE5D4QO2j08,Formatura Campus São Carlos - CCBS I - 27/05/2024,,168,148,0:01:06,,,,,148,2.7453,0,12,0
lFHfENPvuS0,Quero saber - Quais são os sintomas e as formas de diagnóstico e de recuperação?,"Mar 4, 2024",198,268,0:00:36,,,,,268,2.7427,1,1314,2.51
TsqMCcWpdhQ,Quero saber - Como e quando surgiu o ecoturismo?,"Jan 16, 2024",292,57,0:02:47,,,,,57,2.6557,1,501,4.59
028yTQl9WNc,Redução de danos e combate às violências nas festas universitárias,"May 9, 2023",3788,18,0:08:49,,,,,18,2.6459,0,108,3.7
snzlhfQm1_g,Boletim de Oportunidades-Egresso da UFSCar fala sobre a importância do PIPE-Fapesp para sua empresa,"Jan 22, 2025",166,140,0:01:07,,,,,140,2.6272,1,2496,1.44
kYjboEXxDwY,Reunião Extraordinária do Conselho Universitário 07/12  - ConsUni UFSCar,"Dec 7, 2023",8978,6,0:25:57,,,,,6,2.5959,0,242,0.83
nUoXta-XEjk,148º Reunião Ordinária do Conselho de Pós-Graduação | CoPG - UFSCar,"Aug 30, 2023",10899,6,0:25:46,,,,,6,2.5772,0,78,0
nkfWsVtm3x4,Próxima Gestão: Reitora e Vice-Reitora são indicadas pelo Colégio Eleitoral,"Nov 7, 2024",653,67,0:02:17,,,,,67,2.5627,1,3069,0.59
zEG1735N9jQ,Fazenda Produtiva - UFSCar Lagoa do Sino,"Aug 28, 2020",166,125,0:01:13,,,,,125,2.5535,1,866,9.47
